Country,Number of Prizes,Population
United States,413,338653036
United Kingdom,138,67802512
Germany,115,83431789
France,76,65839951
Sweden,34,10556906
Russia/Soviet Union,30,144704502
Japan,29,123801638
Canada,27,40269776
Switzerland,25,8931921
Austria,25,9052414
Netherlands,22,17606364
Italy,21,58982244
Hungary,18,9715275
Poland,18,37837750
Australia,14,26469584
Denmark,14,5878826
Norway,14,5552415
Israel,13,9615184
India,10,1415862544
Belgium,11,11819889
Ireland,11,5047187
South Africa,11,60414498
China (People's Republic of China),8,1426581497
Spain,8,47495342
Czech Republic,6,10686269
Argentina,5,45852627
Finland,5,5538357
Egypt,4,111384124
Romania,4,18976471
Ukraine,4,39812269
Taiwan (Republic of China),1,23580712
Belarus,3,9274589
Croatia,3,3828073
Lithuania,3,2686710
Mexico,3,127724673
New Zealand,3,5185377
Yugoslavia,3,
Bosnia and Herzegovina,2,3308934
Chile,2,19144184
Colombia,2,51771947
East Timor,2,1384708
Greece,2,10213227
Guatemala,2,20940780
Liberia,2,5620438
Luxembourg,2,663221
Portugal,2,10148814
Saint Lucia,2,180931
Tunisia,2,12543190
Turkey,2,88375678
Iran,2,88668762
Pakistan,2,236882454
Algeria,2,45579290
Bangladesh,1,171594827
Bulgaria,1,6452110
Costa Rica,1,5213362
Cyprus,1,1270477
Democratic Republic of the Congo,1,100386126
Ethiopia,1,124095535
Faroe Islands,1,55400
Ghana,1,35589594
Hong Kong,1,7503600
Iceland,1,378269
Iraq,1,46772232
Kenya,1,55217809
Armenia,1,2766372
Latvia,1,1805379
Lebanon,1,5352919
North Macedonia,1,2082636
Morocco,1,38330555
Myanmar,1,56104919
Nigeria,1,219741895
Palestine,1,5482851
Peru,1,34086028
Philippines,1,115969226
Slovenia,1,2118664
South Korea,1,51961377
Tanzania,1,67047291
Tibet,1,
Trinidad and Tobago,1,1538886
Venezuela,1,28194970
Vietnam,1,99126444
Yemen,1,33332510
